city,selected_submarket,geography_tier,neighborhood,address,event_date,rooms,area_sqm,price_ils,floor,parcel_subparcel,group_key,source,source_reference,source_id,source_url,retrieved_at,status,qa_note,alternate_observation,record_uid,source_title,source_date,durable_source_id,legacy_source_reference,provenance_status,latitude,longitude,coordinate_precision,coordinate_source_url,pricing_scope_neighborhood
אשקלון,ברנע,tier_2,מצפה ברנע,קדש 25,2026-07-09,5,125,3200000,,,קדש 25,WizBid / Tax-derived,sold-a7b421f6b4d4d827,,,2026-09-11,accepted,,,sold-a7b421f6b4d4d827,Completed-sale transaction record — קדש 25,2026-07-09,,turn356315search0,dataset_uid_no_stable_source_url,31.68751000,34.57109000,submarket_centroid_fallback,https://mapcarta.com/12936800,ברנע
אשקלון,ברנע,tier_2,מצפה ברנע,בלפור 37,2026-07-06,5,126,1750000,,,בלפור 37,WizBid / Tax-derived,sold-edeab84fe3d13401,,,2026-09-11,accepted,,,sold-edeab84fe3d13401,Completed-sale transaction record — בלפור 37,2026-07-06,,turn356315search0,dataset_uid_no_stable_source_url,31.68751000,34.57109000,submarket_centroid_fallback,https://mapcarta.com/12936800,ברנע
אשקלון,ברנע,tier_2,מצפה ברנע,הציונות 67,2026-03-15,5,113,1640000,,2557-46-51,הציונות 67,Tax-derived public mirror,sold-24aecd686442236d,,,2026-09-11,accepted,,,sold-24aecd686442236d,Completed-sale transaction record — הציונות 67,2026-03-15,,turn312596search5,dataset_uid_no_stable_source_url,31.68751000,34.57109000,submarket_centroid_fallback,https://mapcarta.com/12936800,ברנע
אשקלון,ברנע,tier_2,מצפה ברנע,הציונות 67,2026-02-10,5,119,1850000,,2557-46-42,הציונות 67,Tax-derived public mirror,sold-ef7deacaa28b9281,,,2026-09-11,accepted,,,sold-ef7deacaa28b9281,Completed-sale transaction record — הציונות 67,2026-02-10,,turn312596search5,dataset_uid_no_stable_source_url,31.68751000,34.57109000,submarket_centroid_fallback,https://mapcarta.com/12936800,ברנע
אשקלון,ברנע,tier_2,גני ברנע,יעקב מרידור 11,2026-06-28,5,125,2000000,,,יעקב מרידור 11,Tax-derived public mirror,sold-bc747a7778b00be8,,,2026-09-11,accepted,,,sold-bc747a7778b00be8,Completed-sale transaction record — יעקב מרידור 11,2026-06-28,,turn312596search0,dataset_uid_no_stable_source_url,31.68043100,34.57860800,address_coordinate_from_madlan_record,https://www.madlan.co.il/listings/c2iS7PgCvXo,ברנע
אשקלון,ברנע,tier_2,גני ברנע,מונטיפיורי 17,2026-05-12,5,124,2200000,,,מונטיפיורי 17,Tax-derived public mirror,sold-e3c2ad393b617a3e,,,2026-09-11,accepted,,,sold-e3c2ad393b617a3e,Completed-sale transaction record — מונטיפיורי 17,2026-05-12,,turn312596search2,dataset_uid_no_stable_source_url,31.68131612,34.57773078,address_coordinate_from_madlan_record,https://www.madlan.co.il/local/%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F/%D7%92%D7%A0%D7%99%20%D7%91%D7%A8%D7%A0%D7%A2/FOR_SALE?sortBy=publishDate&spec=,ברנע
אשקלון,ברנע,tier_2,מצפה ברנע,"אצ""ל 47",2026-04-26,5,109,1625000,,,"אצ""ל 47",Dirobot / Tax-derived,sold-0b2d1e6ce7a983cd,,,2026-09-11,accepted,,,sold-0b2d1e6ce7a983cd,"Completed-sale transaction record — אצ""ל 47",2026-04-26,,turn511067search3,dataset_uid_no_stable_source_url,31.68751000,34.57109000,submarket_centroid_fallback,https://mapcarta.com/12936800,ברנע
