city,selected_submarket,geography_tier,neighborhood,address,published_at,updated_at,rooms,area_sqm,price_ils,floor,balcony_area_sqm,parking,storage,group_key,source,source_reference,source_id,source_url,retrieved_at,status,qa_note,record_uid,source_title,source_date,durable_source_id,legacy_source_reference,provenance_status,latitude,longitude,coordinate_precision,coordinate_source_url,pricing_scope_neighborhood
אשקלון,ברנע,tier_1,ברנע,יעקב מרידור,2026-06-17,2026-09-04,5,123,1878000,,,,,יעקב מרידור,Yad2,https://www.yad2.co.il/item/q46o5v4f,q46o5v4f,https://www.yad2.co.il/item/q46o5v4f,2026-09-11,accepted,,asking-6bd6c2f37514ea5a,Current asking listing — יעקב מרידור,2026-09-04,q46o5v4f,,stable_url_and_source_id,31.68751000,34.57109000,submarket_centroid_fallback,https://mapcarta.com/12936800,ברנע
אשקלון,ברנע,tier_2,גני ברנע,יעקב מרידור 8,,2026-06-16,5,120,1950000,,,,,יעקב מרידור 8,Madlan current listing,https://www.madlan.co.il/listings/5Qw3ywI0vdC,5Qw3ywI0vdC,https://www.madlan.co.il/listings/5Qw3ywI0vdC,2026-09-11,accepted,,asking-30559aea711ae614,Current asking listing — יעקב מרידור 8,2026-06-16,5Qw3ywI0vdC,,stable_url_and_source_id,31.67974650,34.57941392,source_record_exact,https://www.madlan.co.il/local/%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F/%D7%92%D7%A0%D7%99%20%D7%91%D7%A8%D7%A0%D7%A2/FOR_SALE?sortBy=publishDate&spec=,ברנע
אשקלון,ברנע,tier_2,מצפה ברנע,הציונות 74,,2026-09-01,5,126,1850000,,,,,הציונות 74,Madlan current listing,https://www.madlan.co.il/listings/Wq2auyIvNCb,Wq2auyIvNCb,https://www.madlan.co.il/listings/Wq2auyIvNCb,2026-09-11,accepted,,asking-b73ee75ee1e81ef7,Current asking listing — הציונות 74,2026-09-01,Wq2auyIvNCb,,stable_url_and_source_id,31.68712015,34.58122145,source_record_exact,https://www.madlan.co.il/local/%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F/%D7%9E%D7%A6%D7%A4%D7%94%20%D7%91%D7%A8%D7%A0%D7%A2/FOR_SALE?sortBy=publishDate&spec=,ברנע
אשקלון,ברנע,tier_1,ברנע,דרך היין 9,,,5,125,1999999,,,,,דרך היין 9,Yad2/current listing,asking-eafe653df7ed9bbf,,,2026-09-11,accepted,,asking-eafe653df7ed9bbf,Current asking listing — דרך היין 9,2026-09-11,,turn920818search8,dataset_uid_no_stable_source_url,31.68751000,34.57109000,submarket_centroid_fallback,https://mapcarta.com/12936800,ברנע
אשקלון,ברנע,tier_2,מצפה ברנע,בלפור 1,,,5,120,2100000,,,,,בלפור 1,Madlan current listing,asking-779b5bd0e3c7843f,,,2026-09-11,quarantined,address/description conflict: description points to מעלה הגת,asking-779b5bd0e3c7843f,Current asking listing — בלפור 1,2026-09-11,,,dataset_uid_no_stable_source_url,31.68668604,34.57641705,address_coordinate_from_madlan_record,https://www.madlan.co.il/local/%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F/%D7%9E%D7%A6%D7%A4%D7%94%20%D7%91%D7%A8%D7%A0%D7%A2/FOR_SALE?sortBy=publishDate&spec=,מצפה ברנע
