record_type,scope,field,before_known,total,before_pct,after_known,after_pct,delta_known,remaining_unknown
project,אשקלון,number_of_floors,0,3,0.0,0,0.0,0,3
project,אשקלון,number_of_units,1,3,33.3,2,66.7,1,1
project,אשקלון,room_range,3,3,100.0,3,100.0,0,0
project,אשקלון,area_range_sqm,3,3,100.0,3,100.0,0,0
project,אשקלון,parking,0,3,0.0,0,0.0,0,3
project,אשקלון,storage,0,3,0.0,0,0.0,0,3
project,אשקלון,mamad,0,3,0.0,1,33.3,1,2
project,אשקלון,payment_terms,3,3,100.0,3,100.0,0,0
project,אשקלון,known_unit_variants,3,3,100.0,3,100.0,0,0
project,אשקלון,architect,1,3,33.3,2,66.7,1,1
project,אשקלון,address,3,3,100.0,3,100.0,0,0
