source_class,file,record_index,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,description,raw_preview
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,659,small_area_45_80,,2026-02-16,אשקלון,אזור תעשיה צפוני,ניר עוז 14,,3.0,80.0,,,,דירה בבית קומות,,,10538.0,,,,"{""dedupeKey"": ""1196-79-207:2026-02-16:843000"", ""dealDate"": ""2026-02-16"", ""dealAmount"": ""843000"", ""pricePerSqm"": ""10538"", ""address"": ""ניר עוז 14"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""אזור תעשיה צפוני"", ""rooms"": ""3"", ""floor"": ""שניה"", ""area"": ""80"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1196"", ""helka"": ""79"", ""tatHelka"": ""207"", ""parcelNum"": ""1196-79-207"", ""assetId"": ""11345683950"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,660,small_area_45_80,,2026-02-16,אשקלון,אפרידר,בר כוכבא 21,,3.0,69.0,,,,דירה בבית קומות,,,14493.0,,,,"{""dedupeKey"": ""2871-96-13:2026-02-16:1000000"", ""dealDate"": ""2026-02-16"", ""dealAmount"": ""1000000"", ""pricePerSqm"": ""14493"", ""address"": ""בר כוכבא 21"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""אפרידר"", ""rooms"": ""3"", ""floor"": ""רביעית"", ""area"": ""69"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""2871"", ""helka"": ""96"", ""tatHelka"": ""13"", ""parcelNum"": ""2871-96-13"", ""assetId"": ""11346226020"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,661,small_area_45_80,,2026-02-16,אשקלון,שקמים,אפרים צור 48,,3.0,50.0,,,,דירה בבית קומות,,,13400.0,,,,"{""dedupeKey"": ""1965-24-4:2026-02-16:670000"", ""dealDate"": ""2026-02-16"", ""dealAmount"": ""670000"", ""pricePerSqm"": ""13400"", ""address"": ""אפרים צור 48"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""שקמים"", ""rooms"": ""3"", ""floor"": ""ראשונה"", ""area"": ""50"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1965"", ""helka"": ""24"", ""tatHelka"": ""4"", ""parcelNum"": ""1965-24-4"", ""assetId"": ""11345330610"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,662,small_area_45_80,,2026-02-16,אשקלון,אפרידר,בר כוכבא 27,,3.0,76.0,,,,דירה בבית קומות,,,15526.0,,,,"{""dedupeKey"": ""2871-97-18:2026-02-16:1180000"", ""dealDate"": ""2026-02-16"", ""dealAmount"": ""1180000"", ""pricePerSqm"": ""15526"", ""address"": ""בר כוכבא 27"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""אפרידר"", ""rooms"": ""3"", ""floor"": ""חמישית"", ""area"": ""76"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""2871"", ""helka"": ""97"", ""tatHelka"": ""18"", ""parcelNum"": ""2871-97-18"", ""assetId"": ""11344475250"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,666,small_area_45_80,,2026-02-15,אשקלון,אזור תעשיה צפוני,ניר עוז 14,,3.0,78.0,,,,,,,11581.0,,,,"{""dedupeKey"": ""1196-79-31:2026-02-15:903327"", ""dealDate"": ""2026-02-15"", ""dealAmount"": ""903327"", ""pricePerSqm"": ""11581"", ""address"": ""ניר עוז 14"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""אזור תעשיה צפוני"", ""rooms"": ""3"", ""floor"": ""שביעית"", ""area"": ""78"", ""gush"": ""1196"", ""helka"": ""79"", ""tatHelka"": ""31"", ""parcelNum"": ""1196-79-31"", ""assetId"": ""11352529665"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,667,small_area_45_80,,2026-02-15,אשקלון,אזור תעשיה צפוני,ניר עוז 14,,3.0,80.0,,,,,,,10546.0,,,,"{""dedupeKey"": ""1196-79-29:2026-02-15:843713"", ""dealDate"": ""2026-02-15"", ""dealAmount"": ""843713"", ""pricePerSqm"": ""10546"", ""address"": ""ניר עוז 14"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""אזור תעשיה צפוני"", ""rooms"": ""3"", ""floor"": ""רביעית"", ""area"": ""80"", ""gush"": ""1196"", ""helka"": ""79"", ""tatHelka"": ""29"", ""parcelNum"": ""1196-79-29"", ""assetId"": ""11352529662"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,669,small_area_45_80,,2026-02-15,אשקלון,בן גוריון,ההסתדרות 25,,3.0,48.0,,,,דירה בבית קומות,,,18646.0,,,,"{""dedupeKey"": ""1962-6-5:2026-02-15:895000"", ""dealDate"": ""2026-02-15"", ""dealAmount"": ""895000"", ""pricePerSqm"": ""18646"", ""address"": ""ההסתדרות 25"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""בן גוריון"", ""rooms"": ""3"", ""floor"": ""ראשונה"", ""area"": ""48"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1962"", ""helka"": ""6"", ""tatHelka"": ""5"", ""parcelNum"": ""1962-6-5"", ""assetId"": ""11344586580"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,670,small_area_45_80,,2026-02-15,אשקלון,בן גוריון,יהודה הלוי 3,,3.0,46.0,,,,דירה בבית קומות,,,22174.0,,,,"{""dedupeKey"": ""1964-102-5:2026-02-15:1020000"", ""dealDate"": ""2026-02-15"", ""dealAmount"": ""1020000"", ""pricePerSqm"": ""22174"", ""address"": ""יהודה הלוי 3"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""בן גוריון"", ""rooms"": ""3"", ""floor"": ""שניה"", ""area"": ""46"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1964"", ""helka"": ""102"", ""tatHelka"": ""5"", ""parcelNum"": ""1964-102-5"", ""assetId"": ""11345041710"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,671,small_area_45_80,,2026-02-15,אשקלון,מתחם מ-7,דרך הים 31,,3.0,79.0,,,,דירה בבית קומות,,,10089.0,,,,"{""dedupeKey"": ""370-40-193:2026-02-15:797000"", ""dealDate"": ""2026-02-15"", ""dealAmount"": ""797000"", ""pricePerSqm"": ""10089"", ""address"": ""דרך הים 31"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""מתחם מ-7"", ""rooms"": ""3"", ""floor"": ""שלישית"", ""area"": ""79"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""370"", ""helka"": ""40"", ""tatHelka"": ""193"", ""parcelNum"": ""370-40-193"", ""assetId"": ""11344296330"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,673,small_area_45_80,,2026-02-15,אשקלון,רמת אשכול,הרב יוסף קארו 285,,3.0,73.0,,,,דירה בבית קומות,,,16575.0,,,,"{""dedupeKey"": ""2383-31-7:2026-02-15:1210000"", ""dealDate"": ""2026-02-15"", ""dealAmount"": ""1210000"", ""pricePerSqm"": ""16575"", ""address"": ""הרב יוסף קארו 285"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""רמת אשכול"", ""rooms"": ""3"", ""floor"": ""שניה"", ""area"": ""73"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""2383"", ""helka"": ""31"", ""tatHelka"": ""7"", ""parcelNum"": ""2383-31-7"", ""assetId"": ""11345587380"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
