source_class,file,record_index,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,description,raw_preview
new_project,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run.json,1089,7_plus_duplex | 7_plus_room | large_area_140_195 | special_property_type,duplex,,,,,,7.0,170.1,39.6,9.0,,,,,,,,דופלקס,"{""unit_number"": ""38"", ""floor"": ""9-10"", ""rooms"": ""7.0"", ""internal_area"": ""170.1"", ""balcony_area"": ""39.6"", ""orientation"": ""מערב"", ""unit_type"": ""duplex"", ""notes"": ""דופלקס""}"
new_project,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run.json,1090,7_plus_duplex | 7_plus_room | special_property_type,duplex,,,,,,7.0,80.7,19.6,9.0,,,,,,,,דופלקס,"{""excel_row"": ""39"", ""floor"": ""9"", ""unit_number"": ""38"", ""rooms"": ""7.0"", ""internal_area"": ""80.7"", ""balcony_area"": ""19.6"", ""orientation"": ""מערב"", ""notes"": ""דופלקס""}"
new_project,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run.json,1091,7_plus_duplex | 7_plus_room | special_property_type,duplex,,,,,,7.0,89.4,20.0,10.0,,,,,,,,דופלקס,"{""excel_row"": ""43"", ""floor"": ""10"", ""unit_number"": ""38"", ""rooms"": ""7.0"", ""internal_area"": ""89.4"", ""balcony_area"": ""20.0"", ""notes"": ""דופלקס""}"
new_project,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run.json,1106,large_area_140_195 | special_property_type,duplex,,,,,,5.0,158.6,39.6,9.0,,,,,,,,דופלקס,"{""unit_number"": ""39"", ""floor"": ""9-10"", ""rooms"": ""5.0"", ""internal_area"": ""158.6"", ""balcony_area"": ""39.6"", ""unit_type"": ""duplex"", ""notes"": ""דופלקס""}"
new_project,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run.json,1107,small_area_45_80 | special_property_type,duplex,,,,,,5.0,74.8,19.6,9.0,,,,,,,,דופלקס,"{""excel_row"": ""40"", ""floor"": ""9"", ""unit_number"": ""39"", ""rooms"": ""5.0"", ""internal_area"": ""74.8"", ""balcony_area"": ""19.6"", ""notes"": ""דופלקס""}"
new_project,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run.json,1108,special_property_type,duplex,,,,,,5.0,83.8,20.0,10.0,,,,,,,,דופלקס,"{""excel_row"": ""44"", ""floor"": ""10"", ""unit_number"": ""39"", ""rooms"": ""5.0"", ""internal_area"": ""83.8"", ""balcony_area"": ""20.0"", ""notes"": ""דופלקס""}"
