record_type,city,field,before_known,before_total,before_pct,after_known,after_total,after_pct,delta_known,delta_pct_points,remaining_unknown
projects,נתניה,parking,4,9,44.4,4,9,44.4,0,0.0,5
projects,נתניה,storage,1,9,11.1,1,9,11.1,0,0.0,8
projects,נתניה,mamad,2,9,22.2,2,9,22.2,0,0.0,7
projects,נתניה,balcony,1,9,11.1,1,9,11.1,0,0.0,8
projects,נתניה,garden,2,9,22.2,2,9,22.2,0,0.0,7
projects,נתניה,payment_terms,2,9,22.2,3,9,33.3,1,11.1,6
projects,נתניה,promotions,3,9,33.3,5,9,55.6,2,22.2,4
projects,נתניה,product_types,9,9,100.0,9,9,100.0,0,0.0,0
projects,נתניה,known_unit_variants,4,9,44.4,5,9,55.6,1,11.1,4
projects,תל אביב-יפו,developer_company,10,10,100.0,10,10,100.0,0,0.0,0
projects,תל אביב-יפו,development_company,10,10,100.0,10,10,100.0,0,0.0,0
projects,תל אביב-יפו,contractor_company,1,10,10.0,1,10,10.0,0,0.0,9
projects,תל אביב-יפו,marketing_company,0,10,0.0,0,10,0.0,0,0.0,10
projects,תל אביב-יפו,architect,6,10,60.0,6,10,60.0,0,0.0,4
projects,תל אביב-יפו,financing_bank,0,10,0.0,0,10,0.0,0,0.0,10
projects,תל אביב-יפו,address,7,10,70.0,8,10,80.0,1,10.0,2
projects,תל אביב-יפו,street,6,10,60.0,7,10,70.0,1,10.0,3
projects,תל אביב-יפו,street_number,4,10,40.0,5,10,50.0,1,10.0,5
projects,תל אביב-יפו,latitude,0,10,0.0,0,10,0.0,0,0.0,10
projects,תל אביב-יפו,longitude,0,10,0.0,0,10,0.0,0,0.0,10
projects,תל אביב-יפו,project_status,10,10,100.0,10,10,100.0,0,0.0,0
projects,תל אביב-יפו,permit_status,0,10,0.0,0,10,0.0,0,0.0,10
projects,תל אביב-יפו,construction_status,3,10,30.0,3,10,30.0,0,0.0,7
projects,תל אביב-יפו,estimated_delivery,0,10,0.0,1,10,10.0,1,10.0,9
projects,תל אביב-יפו,number_of_buildings,6,10,60.0,6,10,60.0,0,0.0,4
projects,תל אביב-יפו,number_of_floors,7,10,70.0,7,10,70.0,0,0.0,3
projects,תל אביב-יפו,number_of_units,6,10,60.0,6,10,60.0,0,0.0,4
projects,תל אביב-יפו,apartments_per_floor,0,10,0.0,0,10,0.0,0,0.0,10
projects,תל אביב-יפו,number_of_elevators,0,10,0.0,0,10,0.0,0,0.0,10
projects,תל אביב-יפו,room_range,4,10,40.0,4,10,40.0,0,0.0,6
