city,selected_submarket,geography_tier,neighborhood,address,published_at,updated_at,rooms,area_sqm,price_ils,floor,balcony_area_sqm,parking,storage,group_key,source,source_reference,source_id,source_url,retrieved_at,status,qa_note,record_uid,source_title,source_date,durable_source_id,legacy_source_reference,provenance_status,latitude,longitude,coordinate_precision,coordinate_source_url,pricing_scope_neighborhood
נתניה,קריית השרון,tier_1,קריית השרון,דרך דגניה 46,2026-06-09,,5,120,2690000,,,,,דרך דגניה 46,Yad2/current listing,asking-57df8ae6a90d6d7b,,,2026-09-11,accepted,,asking-57df8ae6a90d6d7b,Current asking listing — דרך דגניה 46,2026-06-09,,turn665627search0,dataset_uid_no_stable_source_url,32.30321000,34.87567000,submarket_centroid_fallback,https://mapcarta.com/W1010040276,קריית השרון
נתניה,קריית השרון,tier_1,קריית השרון,דרך הפארק 25,,,5,127,3050000,,,,,דרך הפארק 25,current listing,asking-6e02f875a5403242,,,2026-09-11,accepted,another source displayed ₪3.09M; current accepted observation kept at ₪3.05M,asking-6e02f875a5403242,Current asking listing — דרך הפארק 25,2026-09-11,,turn822371search0,dataset_uid_no_stable_source_url,32.30321000,34.87567000,submarket_centroid_fallback,https://mapcarta.com/W1010040276,קריית השרון
נתניה,קריית השרון,tier_1,קריית השרון,דרך הפארק 29,,,5,123,2970000,,,,,דרך הפארק 29,current listing,asking-ca9224f8e1fd6009,,,2026-09-11,accepted,,asking-ca9224f8e1fd6009,Current asking listing — דרך הפארק 29,2026-09-11,,turn822371search7,dataset_uid_no_stable_source_url,32.30321000,34.87567000,submarket_centroid_fallback,https://mapcarta.com/W1010040276,קריית השרון
נתניה,קריית השרון,tier_1,קריית השרון,דרך דגניה 67,,,5,125,3000000,,,,,דרך דגניה 67,Yad2/current listing,asking-610c8c7d1a5d3046,,,2026-09-11,accepted,,asking-610c8c7d1a5d3046,Current asking listing — דרך דגניה 67,2026-09-11,,turn997103search6,dataset_uid_no_stable_source_url,32.30321000,34.87567000,submarket_centroid_fallback,https://mapcarta.com/W1010040276,קריית השרון
