match_type,special_type,address_special,address_normal,parcel_key,date_special,date_normal,date_difference_days,rooms_special,rooms_normal,area_special,area_normal,area_difference_pct,floor_special,floor_normal,price_special,price_normal,price_delta,price_delta_pct,ppm_special,ppm_normal,ppm_delta,ppm_delta_pct,source_special,source_normal,source_id_special,source_id_normal
same_parcel,roof,עמק חפר 11,עמק חפר 9,2882-9,2025-10-23,2022-04-11,1291,5.0,5.0,147.0,143.0,0.027972027972027972,,,1105000.0,2100000.0,-995000.0,-0.4738095238095238,7517.0,14685.0,-7168.0,-0.4881171263193735,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_review.json,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,11276813610,10991650950
same_parcel,roof,עמק חפר 11,עמק חפר 9,2882-9,2025-10-23,2024-08-04,445,5.0,5.0,147.0,173.0,0.15028901734104047,,,1105000.0,1100000.0,5000.0,0.004545454545454545,7517.0,6358.0,1159.0,0.18229002831078955,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_review.json,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_review.json,11276813610,11177303490
