match_type,special_type,address_special,address_normal,parcel_key,date_special,date_normal,date_difference_days,rooms_special,rooms_normal,area_special,area_normal,area_difference_pct,floor_special,floor_normal,price_special,price_normal,price_delta,price_delta_pct,ppm_special,ppm_normal,ppm_delta,ppm_delta_pct,source_special,source_normal,source_id_special,source_id_normal
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2026-05-06,94,3.0,3.0,74.0,80.0,0.075,0.0,9.0,,1750000.0,,,20270.0,21875.0,-1605.0,-0.07337142857142857,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,11349838890
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2026-04-29,87,3.0,3.0,74.0,80.0,0.075,0.0,10.0,,1750000.0,,,20270.0,21875.0,-1605.0,-0.07337142857142857,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,11349281340
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2025-06-08,238,3.0,3.0,74.0,80.0,0.075,0.0,7.0,,1720000.0,,,20270.0,21500.0,-1230.0,-0.0572093023255814,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,11267742330
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2025-05-04,273,3.0,3.0,74.0,80.0,0.075,0.0,8.0,,1750000.0,,,20270.0,21875.0,-1605.0,-0.07337142857142857,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,11263160970
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2025-04-24,283,3.0,3.0,74.0,80.0,0.075,0.0,12.0,,1826000.0,,,20270.0,22825.0,-2555.0,-0.11193866374589266,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,11263118670
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2025-03-25,313,3.0,3.0,74.0,80.0,0.075,0.0,4.0,,1755000.0,,,20270.0,21937.5,-1667.5,-0.07601139601139602,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,11260093590
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2025-01-23,374,3.0,3.0,74.0,80.0,0.075,0.0,9.0,,1750000.0,,,20270.0,21875.0,-1605.0,-0.07337142857142857,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,11263142430
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2025-01-09,388,3.0,3.0,74.0,80.0,0.075,0.0,2.0,,1700000.0,,,20270.0,21250.0,-980.0,-0.04611764705882353,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,11252756430
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2024-12-19,409,3.0,3.0,74.0,80.0,0.075,0.0,7.0,,1760000.0,,,20270.0,22000.0,-1730.0,-0.07863636363636364,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,11252073240
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2024-11-24,434,3.0,3.0,74.0,80.0,0.075,0.0,4.0,,1745000.0,,,20270.0,21812.5,-1542.5,-0.0707163323782235,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,11186402940
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2024-11-16,442,3.0,3.0,74.0,80.0,0.075,0.0,8.0,,1740000.0,,,20270.0,21750.0,-1480.0,-0.06804597701149426,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,11189999610
same_parcel,garden,אבן עזרא 61,נחלה 7,,2026-02-01,2024-09-12,507,3.0,3.0,74.0,80.0,0.075,0.0,11.0,,1740000.0,,,20270.0,21750.0,-1480.0,-0.06804597701149426,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,11183068260
same_parcel,garden,אבן עזרא 61,נחלה 16,,2026-02-01,2022-01-09,1484,3.0,3.0,74.0,77.0,0.03896103896103896,0.0,3.0,,843000.0,,,20270.0,10948.051948051949,9321.948051948051,0.8514709371293,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,10980897300
same_parcel,garden,אבן עזרא 61,נחלה 16,,2026-02-01,2021-11-14,1540,3.0,3.0,74.0,77.0,0.03896103896103896,0.0,3.0,,843000.0,,,20270.0,10948.051948051949,9321.948051948051,0.8514709371293,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,10918265940
