source_class,file,record_index,lane_raw,source_raw,source_id,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,gush,helka,tat_helka,parcel_key,latitude,longitude,description,raw_preview
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1055,,,,6_room | 6_room_triplex | special_property_type | very_large_area_210_310,triplex,,,,,,6.0,260.1,97.4,9.0,,triplex,,,,,,,,,,,,טריפלקס,"{""unit_number"": ""37"", ""floor"": ""9-11"", ""rooms"": ""6.0"", ""internal_area"": ""260.1"", ""balcony_area"": ""97.4"", ""orientation"": ""מערב"", ""unit_type"": ""triplex"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1056,,,,6_room | 6_room_triplex | small_area_45_80 | special_property_type,triplex,,,,,,6.0,73.7,12.0,9.0,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""38"", ""floor"": ""9"", ""unit_number"": ""37"", ""rooms"": ""6.0"", ""internal_area"": ""73.7"", ""balcony_area"": ""12.0"", ""orientation"": ""מערב"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1057,,,,6_room | 6_room_triplex | small_area_45_80 | special_property_type,triplex,,,,,,6.0,77.5,20.0,10.0,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""42"", ""floor"": ""10"", ""unit_number"": ""37"", ""rooms"": ""6.0"", ""internal_area"": ""77.5"", ""balcony_area"": ""20.0"", ""orientation"": ""מערב"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1058,,,,6_room | 6_room_triplex | special_property_type,triplex,,,,,,6.0,108.9,65.4,11.0,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""46"", ""floor"": ""11"", ""unit_number"": ""37"", ""rooms"": ""6.0"", ""internal_area"": ""108.9"", ""balcony_area"": ""65.4"", ""orientation"": ""מערב"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1059,,,,6_room | 6_room_triplex | special_property_type | very_large_area_210_310,triplex,,,,,,6.0,260.1,,,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""48"", ""floor"": ""סה\""כ"", ""unit_number"": ""37"", ""rooms"": ""6.0"", ""internal_area"": ""260.1"", ""orientation"": ""מערב"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1073,,,,7_plus_duplex | 7_plus_room | large_area_140_195 | special_property_type,duplex,,,,,,7.0,170.1,39.6,9.0,,duplex,,,,,,,,,,,,דופלקס,"{""unit_number"": ""38"", ""floor"": ""9-10"", ""rooms"": ""7.0"", ""internal_area"": ""170.1"", ""balcony_area"": ""39.6"", ""orientation"": ""מערב"", ""unit_type"": ""duplex"", ""notes"": ""דופלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1074,,,,7_plus_duplex | 7_plus_room | special_property_type,duplex,,,,,,7.0,80.7,19.6,9.0,,,,,,,,,,,,,,דופלקס,"{""excel_row"": ""39"", ""floor"": ""9"", ""unit_number"": ""38"", ""rooms"": ""7.0"", ""internal_area"": ""80.7"", ""balcony_area"": ""19.6"", ""orientation"": ""מערב"", ""notes"": ""דופלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1075,,,,7_plus_duplex | 7_plus_room | special_property_type,duplex,,,,,,7.0,89.4,20.0,10.0,,,,,,,,,,,,,,דופלקס,"{""excel_row"": ""43"", ""floor"": ""10"", ""unit_number"": ""38"", ""rooms"": ""7.0"", ""internal_area"": ""89.4"", ""balcony_area"": ""20.0"", ""notes"": ""דופלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1076,,,,7_plus_duplex | 7_plus_room | large_area_140_195 | special_property_type,duplex,,,,,,7.0,170.1,,,,,,,,,,,,,,,,דופלקס,"{""excel_row"": ""49"", ""floor"": ""סה\""כ"", ""unit_number"": ""38"", ""rooms"": ""7.0"", ""internal_area"": ""170.1"", ""orientation"": ""מערב"", ""notes"": ""דופלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1090,,,,large_area_140_195 | special_property_type,duplex,,,,,,5.0,158.6,39.6,9.0,,duplex,,,,,,,,,,,,דופלקס,"{""unit_number"": ""39"", ""floor"": ""9-10"", ""rooms"": ""5.0"", ""internal_area"": ""158.6"", ""balcony_area"": ""39.6"", ""unit_type"": ""duplex"", ""notes"": ""דופלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1091,,,,small_area_45_80 | special_property_type,duplex,,,,,,5.0,74.8,19.6,9.0,,,,,,,,,,,,,,דופלקס,"{""excel_row"": ""40"", ""floor"": ""9"", ""unit_number"": ""39"", ""rooms"": ""5.0"", ""internal_area"": ""74.8"", ""balcony_area"": ""19.6"", ""notes"": ""דופלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1092,,,,special_property_type,duplex,,,,,,5.0,83.8,20.0,10.0,,,,,,,,,,,,,,דופלקס,"{""excel_row"": ""44"", ""floor"": ""10"", ""unit_number"": ""39"", ""rooms"": ""5.0"", ""internal_area"": ""83.8"", ""balcony_area"": ""20.0"", ""notes"": ""דופלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,1,,,,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,9.0,,standard_apartment,,1680000.0,21000.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\comparable_demo_unit17.json"", ""record_index"": ""8"", ""targets"": ""small_area_45_80"", ""address"": ""נחלה 7"", ""rooms"": ""3.0"", ""area_sqm"": ""80.0"", ""floor"": ""9.0"", ""property_type"": ""standard_apartment"", ""price"": ""1680000.0"", ""price_per_sqm"": ""21000.0"", ""raw_preview"": ""{\""lane\"": \""sold\"", \""source\"": \""govmap_via_nadlan_deals\"", \""source_id\"": \""11356430310\"", \""price\"": \""1680000.0\"", \""rooms\"": \""3.0\"", \""area\"": \""80.0\"", \""floor\"": \""9\"", \""property_type\"": \""standard_apartment\"", \""latitude\"": \""31.67669796087469\"", \""longitude\"": \""34.59060699815149\"", \""event_date\"": \""2026-07-21\"", \""address\"": \""נחלה 7\"", \""distance_m\"": \""888.9\"", \""area_difference_pct\"": \""0.1594\"", \""floor_difference\"": \""5.0\"", \""quality_sta...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,2,,,,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,9.0,,standard_apartment,,1750000.0,21875.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\comparable_demo_unit17.json"", ""record_index"": ""10"", ""targets"": ""small_area_45_80"", ""address"": ""נחלה 7"", ""rooms"": ""3.0"", ""area_sqm"": ""80.0"", ""floor"": ""9.0"", ""property_type"": ""standard_apartment"", ""price"": ""1750000.0"", ""price_per_sqm"": ""21875.0"", ""raw_preview"": ""{\""lane\"": \""sold\"", \""source\"": \""govmap_via_nadlan_deals\"", \""source_id\"": \""11349838890\"", \""price\"": \""1750000.0\"", \""rooms\"": \""3.0\"", \""area\"": \""80.0\"", \""floor\"": \""9\"", \""property_type\"": \""standard_apartment\"", \""latitude\"": \""31.67669796087469\"", \""longitude\"": \""34.59060699815149\"", \""event_date\"": \""2026-05-06\"", \""address\"": \""נחלה 7\"", \""distance_m\"": \""888.9\"", \""area_difference_pct\"": \""0.1594\"", \""floor_difference\"": \""5.0\"", \""quality_sta...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,3,,,,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,7.0,,standard_apartment,,1720000.0,21500.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\comparable_demo_unit17.json"", ""record_index"": ""12"", ""targets"": ""small_area_45_80"", ""address"": ""נחלה 7"", ""rooms"": ""3.0"", ""area_sqm"": ""80.0"", ""floor"": ""7.0"", ""property_type"": ""standard_apartment"", ""price"": ""1720000.0"", ""price_per_sqm"": ""21500.0"", ""raw_preview"": ""{\""lane\"": \""sold\"", \""source\"": \""govmap_via_nadlan_deals\"", \""source_id\"": \""11267742330\"", \""price\"": \""1720000.0\"", \""rooms\"": \""3.0\"", \""area\"": \""80.0\"", \""floor\"": \""7\"", \""property_type\"": \""standard_apartment\"", \""latitude\"": \""31.67669796087469\"", \""longitude\"": \""34.59060699815149\"", \""event_date\"": \""2025-06-08\"", \""address\"": \""נחלה 7\"", \""distance_m\"": \""888.9\"", \""area_difference_pct\"": \""0.1594\"", \""floor_difference\"": \""3.0\"", \""quality_sta...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,4,,,,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,12.0,,standard_apartment,,1826000.0,22825.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\comparable_demo_unit17.json"", ""record_index"": ""14"", ""targets"": ""small_area_45_80"", ""address"": ""נחלה 7"", ""rooms"": ""3.0"", ""area_sqm"": ""80.0"", ""floor"": ""12.0"", ""property_type"": ""standard_apartment"", ""price"": ""1826000.0"", ""price_per_sqm"": ""22825.0"", ""raw_preview"": ""{\""lane\"": \""sold\"", \""source\"": \""govmap_via_nadlan_deals\"", \""source_id\"": \""11263118670\"", \""price\"": \""1826000.0\"", \""rooms\"": \""3.0\"", \""area\"": \""80.0\"", \""floor\"": \""12\"", \""property_type\"": \""standard_apartment\"", \""latitude\"": \""31.67669796087469\"", \""longitude\"": \""34.59060699815149\"", \""event_date\"": \""2025-04-24\"", \""address\"": \""נחלה 7\"", \""distance_m\"": \""888.9\"", \""area_difference_pct\"": \""0.1594\"", \""floor_difference\"": \""8.0\"", \""quality_st...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,5,,,,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,4.0,,standard_apartment,,1755000.0,21937.5,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\comparable_demo_unit17.json"", ""record_index"": ""15"", ""targets"": ""small_area_45_80"", ""address"": ""נחלה 7"", ""rooms"": ""3.0"", ""area_sqm"": ""80.0"", ""floor"": ""4.0"", ""property_type"": ""standard_apartment"", ""price"": ""1755000.0"", ""price_per_sqm"": ""21937.5"", ""raw_preview"": ""{\""lane\"": \""sold\"", \""source\"": \""govmap_via_nadlan_deals\"", \""source_id\"": \""11260093590\"", \""price\"": \""1755000.0\"", \""rooms\"": \""3.0\"", \""area\"": \""80.0\"", \""floor\"": \""4\"", \""property_type\"": \""standard_apartment\"", \""latitude\"": \""31.67669796087469\"", \""longitude\"": \""34.59060699815149\"", \""event_date\"": \""2025-03-25\"", \""address\"": \""נחלה 7\"", \""distance_m\"": \""888.9\"", \""area_difference_pct\"": \""0.1594\"", \""floor_difference\"": \""0.0\"", \""quality_sta...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,6,,,,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,2.0,,standard_apartment,,1700000.0,21250.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\comparable_demo_unit17.json"", ""record_index"": ""17"", ""targets"": ""small_area_45_80"", ""address"": ""נחלה 7"", ""rooms"": ""3.0"", ""area_sqm"": ""80.0"", ""floor"": ""2.0"", ""property_type"": ""standard_apartment"", ""price"": ""1700000.0"", ""price_per_sqm"": ""21250.0"", ""raw_preview"": ""{\""lane\"": \""sold\"", \""source\"": \""govmap_via_nadlan_deals\"", \""source_id\"": \""11252756430\"", \""price\"": \""1700000.0\"", \""rooms\"": \""3.0\"", \""area\"": \""80.0\"", \""floor\"": \""2\"", \""property_type\"": \""standard_apartment\"", \""latitude\"": \""31.67669796087469\"", \""longitude\"": \""34.59060699815149\"", \""event_date\"": \""2025-01-09\"", \""address\"": \""נחלה 7\"", \""distance_m\"": \""888.9\"", \""area_difference_pct\"": \""0.1594\"", \""floor_difference\"": \""2.0\"", \""quality_sta...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,7,,,,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,7.0,,standard_apartment,,1760000.0,22000.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\comparable_demo_unit17.json"", ""record_index"": ""18"", ""targets"": ""small_area_45_80"", ""address"": ""נחלה 7"", ""rooms"": ""3.0"", ""area_sqm"": ""80.0"", ""floor"": ""7.0"", ""property_type"": ""standard_apartment"", ""price"": ""1760000.0"", ""price_per_sqm"": ""22000.0"", ""raw_preview"": ""{\""lane\"": \""sold\"", \""source\"": \""govmap_via_nadlan_deals\"", \""source_id\"": \""11252073240\"", \""price\"": \""1760000.0\"", \""rooms\"": \""3.0\"", \""area\"": \""80.0\"", \""floor\"": \""7\"", \""property_type\"": \""standard_apartment\"", \""latitude\"": \""31.67669796087469\"", \""longitude\"": \""34.59060699815149\"", \""event_date\"": \""2024-12-19\"", \""address\"": \""נחלה 7\"", \""distance_m\"": \""888.9\"", \""area_difference_pct\"": \""0.1594\"", \""floor_difference\"": \""3.0\"", \""quality_sta...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,8,,,,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,4.0,,standard_apartment,,1745000.0,21812.5,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\comparable_demo_unit17.json"", ""record_index"": ""19"", ""targets"": ""small_area_45_80"", ""address"": ""נחלה 7"", ""rooms"": ""3.0"", ""area_sqm"": ""80.0"", ""floor"": ""4.0"", ""property_type"": ""standard_apartment"", ""price"": ""1745000.0"", ""price_per_sqm"": ""21812.5"", ""raw_preview"": ""{\""lane\"": \""sold\"", \""source\"": \""govmap_via_nadlan_deals\"", \""source_id\"": \""11186402940\"", \""price\"": \""1745000.0\"", \""rooms\"": \""3.0\"", \""area\"": \""80.0\"", \""floor\"": \""4\"", \""property_type\"": \""standard_apartment\"", \""latitude\"": \""31.67669796087469\"", \""longitude\"": \""34.59060699815149\"", \""event_date\"": \""2024-11-24\"", \""address\"": \""נחלה 7\"", \""distance_m\"": \""888.9\"", \""area_difference_pct\"": \""0.1594\"", \""floor_difference\"": \""0.0\"", \""quality_sta...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,9,,,,small_area_45_80,,,,,נחלה 7,,3.0,80.0,,8.0,,standard_apartment,,1740000.0,21750.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\comparable_demo_unit17.json"", ""record_index"": ""20"", ""targets"": ""small_area_45_80"", ""address"": ""נחלה 7"", ""rooms"": ""3.0"", ""area_sqm"": ""80.0"", ""floor"": ""8.0"", ""property_type"": ""standard_apartment"", ""price"": ""1740000.0"", ""price_per_sqm"": ""21750.0"", ""raw_preview"": ""{\""lane\"": \""sold\"", \""source\"": \""govmap_via_nadlan_deals\"", \""source_id\"": \""11189999610\"", \""price\"": \""1740000.0\"", \""rooms\"": \""3.0\"", \""area\"": \""80.0\"", \""floor\"": \""8\"", \""property_type\"": \""standard_apartment\"", \""latitude\"": \""31.67669796087469\"", \""longitude\"": \""34.59060699815149\"", \""event_date\"": \""2024-11-16\"", \""address\"": \""נחלה 7\"", \""distance_m\"": \""888.9\"", \""area_difference_pct\"": \""0.1594\"", \""floor_difference\"": \""4.0\"", \""quality_sta...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,10,,,,small_area_45_80,,,,,נחלה 16,,3.0,77.0,,3.0,,standard_apartment,,843000.0,10948.051948051949,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\comparable_demo_unit17.json"", ""record_index"": ""22"", ""targets"": ""small_area_45_80"", ""address"": ""נחלה 16"", ""rooms"": ""3.0"", ""area_sqm"": ""77.0"", ""floor"": ""3.0"", ""property_type"": ""standard_apartment"", ""price"": ""843000.0"", ""price_per_sqm"": ""10948.051948051949"", ""raw_preview"": ""{\""lane\"": \""sold\"", \""source\"": \""govmap_via_nadlan_deals\"", \""source_id\"": \""10980897300\"", \""price\"": \""843000.0\"", \""rooms\"": \""3.0\"", \""area\"": \""77.0\"", \""floor\"": \""3\"", \""property_type\"": \""standard_apartment\"", \""latitude\"": \""31.67631358193458\"", \""longitude\"": \""34.591604042256755\"", \""event_date\"": \""2022-01-09\"", \""address\"": \""נחלה 16\"", \""distance_m\"": \""903.0\"", \""area_difference_pct\"": \""0.1159\"", \""floor_difference\"": \""1.0\"", \""quality_st...""}"
