source_class,file,record_index,lane_raw,source_raw,source_id,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,gush,helka,tat_helka,parcel_key,latitude,longitude,description,raw_preview
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,57,,,,large_area_140_195 | special_property_type,duplex,,,,,,5.0,158.6,,9.0,,,,,,,,,,,,,,דופלקס,"{""source_class"": ""new_project"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\project_dry_run.json"", ""record_index"": ""1106"", ""targets"": ""large_area_140_195 | special_property_type"", ""special_types"": ""duplex"", ""rooms"": ""5.0"", ""area_sqm"": ""158.6"", ""outdoor_area_sqm"": ""39.6"", ""floor"": ""9.0"", ""description"": ""דופלקס"", ""raw_preview"": ""{\""unit_number\"": \""39\"", \""floor\"": \""9-10\"", \""rooms\"": \""5.0\"", \""internal_area\"": \""158.6\"", \""balcony_area\"": \""39.6\"", \""unit_type\"": \""duplex\"", \""notes\"": \""דופלקס\""}""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,112,,,,large_area_140_195,,2021-10-04,אשקלון,גולדה,עולי הגרדום 19,,5.0,140.0,,,,דירה בבית קומות,,,11679.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\qa_output_ashkelon\\sold_primary_usable.json"", ""record_index"": ""131"", ""targets"": ""large_area_140_195"", ""date"": ""2021-10-04"", ""city"": ""אשקלון"", ""neighborhood"": ""גולדה"", ""address"": ""עולי הגרדום 19"", ""rooms"": ""5.0"", ""area_sqm"": ""140.0"", ""property_type"": ""דירה בבית קומות"", ""price_per_sqm"": ""11679.0"", ""raw_preview"": ""{\""source_index\"": \""65\"", \""deal_date\"": \""2021-10-04\"", \""deal_amount\"": \""1635000.0\"", \""price_per_sqm\"": \""11679.0\"", \""address\"": \""עולי הגרדום 19\"", \""city\"": \""אשקלון\"", \""neighborhood\"": \""גולדה\"", \""rooms\"": \""5.0\"", \""floor\"": \""קרקע ראשונה ושניה\"", \""area\"": \""140.0\"", \""property_type\"": \""דירה בבית קומות\"", \""gush\"": \""2843\"", \""helka\"": \""34\"", \""tat_helka\"": \""1\"", \""asset_id\"": \""10915309440\"", \""latitude\"": \""31.647863055879995\"", \""longitude\"": ...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,113,,,,large_area_140_195,,2024-07-11,אשקלון,האגמים,עין עברונה 9,,5.0,146.0,,,,דירה בבית קומות,,,14692.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\qa_output_ashkelon\\sold_primary_usable.json"", ""record_index"": ""133"", ""targets"": ""large_area_140_195"", ""date"": ""2024-07-11"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""address"": ""עין עברונה 9"", ""rooms"": ""5.0"", ""area_sqm"": ""146.0"", ""property_type"": ""דירה בבית קומות"", ""price_per_sqm"": ""14692.0"", ""raw_preview"": ""{\""source_index\"": \""66\"", \""deal_date\"": \""2024-07-11\"", \""deal_amount\"": \""2145000.0\"", \""price_per_sqm\"": \""14692.0\"", \""address\"": \""עין עברונה 9\"", \""city\"": \""אשקלון\"", \""neighborhood\"": \""האגמים\"", \""rooms\"": \""5.0\"", \""floor\"": \""שניה, שלישית\"", \""area\"": \""146.0\"", \""property_type\"": \""דירה בבית קומות\"", \""gush\"": \""2882\"", \""helka\"": \""5\"", \""tat_helka\"": \""14\"", \""asset_id\"": \""11175019650\"", \""latitude\"": \""31.647303165578975\"", \""longitude\"": \""34.56...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,120,,,,large_area_140_195,,2025-12-08,אשקלון,גולדה,התקווה 1,,5.0,145.0,,,,דירה בבית קומות,,,14276.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\qa_output_ashkelon\\sold_primary_usable.json"", ""record_index"": ""199"", ""targets"": ""large_area_140_195"", ""date"": ""2025-12-08"", ""city"": ""אשקלון"", ""neighborhood"": ""גולדה"", ""address"": ""התקווה 1"", ""rooms"": ""5.0"", ""area_sqm"": ""145.0"", ""property_type"": ""דירה בבית קומות"", ""price_per_sqm"": ""14276.0"", ""raw_preview"": ""{\""source_index\"": \""99\"", \""deal_date\"": \""2025-12-08\"", \""deal_amount\"": \""2070000.0\"", \""price_per_sqm\"": \""14276.0\"", \""address\"": \""התקווה 1\"", \""city\"": \""אשקלון\"", \""neighborhood\"": \""גולדה\"", \""rooms\"": \""5.0\"", \""area\"": \""145.0\"", \""property_type\"": \""דירה בבית קומות\"", \""gush\"": \""2843\"", \""helka\"": \""44\"", \""tat_helka\"": \""6\"", \""asset_id\"": \""11340050490\"", \""latitude\"": \""31.6491533958462\"", \""longitude\"": \""34.555343723058236\"", \""scraped_at\"": \""2...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,121,,,,large_area_140_195,,2022-12-28,אשקלון,גולדה,התקווה 1,,5.0,145.0,,1.0,,דירה בבית קומות,,,13103.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\qa_output_ashkelon\\sold_primary_usable.json"", ""record_index"": ""207"", ""targets"": ""large_area_140_195"", ""date"": ""2022-12-28"", ""city"": ""אשקלון"", ""neighborhood"": ""גולדה"", ""address"": ""התקווה 1"", ""rooms"": ""5.0"", ""area_sqm"": ""145.0"", ""floor"": ""1.0"", ""property_type"": ""דירה בבית קומות"", ""price_per_sqm"": ""13103.0"", ""raw_preview"": ""{\""source_index\"": \""103\"", \""deal_date\"": \""2022-12-28\"", \""deal_amount\"": \""1900000.0\"", \""price_per_sqm\"": \""13103.0\"", \""address\"": \""התקווה 1\"", \""city\"": \""אשקלון\"", \""neighborhood\"": \""גולדה\"", \""rooms\"": \""5.0\"", \""floor\"": \""1\"", \""area\"": \""145.0\"", \""property_type\"": \""דירה בבית קומות\"", \""gush\"": \""2843\"", \""helka\"": \""44\"", \""tat_helka\"": \""4\"", \""asset_id\"": \""11070108720\"", \""latitude\"": \""31.6491533958462\"", \""longitude\"": \""34.555343723058236\"", \""...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,122,,,,large_area_140_195,,2022-12-12,אשקלון,גולדה,התקווה 3,,5.0,164.0,,1.0,,קוטג' דו משפחתי,,,10061.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\qa_output_ashkelon\\sold_primary_usable.json"", ""record_index"": ""209"", ""targets"": ""large_area_140_195"", ""date"": ""2022-12-12"", ""city"": ""אשקלון"", ""neighborhood"": ""גולדה"", ""address"": ""התקווה 3"", ""rooms"": ""5.0"", ""area_sqm"": ""164.0"", ""floor"": ""1.0"", ""property_type"": ""קוטג' דו משפחתי"", ""price_per_sqm"": ""10061.0"", ""raw_preview"": ""{\""source_index\"": \""104\"", \""deal_date\"": \""2022-12-12\"", \""deal_amount\"": \""1650000.0\"", \""price_per_sqm\"": \""10061.0\"", \""address\"": \""התקווה 3\"", \""city\"": \""אשקלון\"", \""neighborhood\"": \""גולדה\"", \""rooms\"": \""5.0\"", \""floor\"": \""1\"", \""area\"": \""164.0\"", \""property_type\"": \""קוטג' דו משפחתי\"", \""gush\"": \""2843\"", \""helka\"": \""39\"", \""tat_helka\"": \""3\"", \""asset_id\"": \""11070826650\"", \""latitude\"": \""31.64845093029257\"", \""longitude\"": \""34.555785329784264\"", ...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,126,,,,large_area_140_195,,2026-01-19,אשקלון,האגמים,עמק חפר 33,,5.0,162.0,,5.0,,דירה בבית קומות,,,18704.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\qa_output_ashkelon\\sold_primary_usable.json"", ""record_index"": ""227"", ""targets"": ""large_area_140_195"", ""date"": ""2026-01-19"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""address"": ""עמק חפר 33"", ""rooms"": ""5.0"", ""area_sqm"": ""162.0"", ""floor"": ""5.0"", ""property_type"": ""דירה בבית קומות"", ""price_per_sqm"": ""18704.0"", ""raw_preview"": ""{\""source_index\"": \""113\"", \""deal_date\"": \""2026-01-19\"", \""deal_amount\"": \""3030000.0\"", \""price_per_sqm\"": \""18704.0\"", \""address\"": \""עמק חפר 33\"", \""city\"": \""אשקלון\"", \""neighborhood\"": \""האגמים\"", \""rooms\"": \""5.0\"", \""floor\"": \""5\"", \""area\"": \""162.0\"", \""property_type\"": \""דירה בבית קומות\"", \""gush\"": \""2883\"", \""helka\"": \""15\"", \""tat_helka\"": \""38\"", \""asset_id\"": \""11341802070\"", \""latitude\"": \""31.64809397574784\"", \""longitude\"": \""34.56407133896185...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,130,,,,large_area_140_195,,2024-06-13,אשקלון,האגמים,עמק חפר 17,,5.0,182.0,,,,דירה בבית קומות,,,11813.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\qa_output_ashkelon\\sold_primary_usable.json"", ""record_index"": ""319"", ""targets"": ""large_area_140_195"", ""date"": ""2024-06-13"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""address"": ""עמק חפר 17"", ""rooms"": ""5.0"", ""area_sqm"": ""182.0"", ""property_type"": ""דירה בבית קומות"", ""price_per_sqm"": ""11813.0"", ""raw_preview"": ""{\""source_index\"": \""160\"", \""deal_date\"": \""2024-06-13\"", \""deal_amount\"": \""2150000.0\"", \""price_per_sqm\"": \""11813.0\"", \""address\"": \""עמק חפר 17\"", \""city\"": \""אשקלון\"", \""neighborhood\"": \""האגמים\"", \""rooms\"": \""5.0\"", \""floor\"": \""רביעית, חמישית\"", \""area\"": \""182.0\"", \""property_type\"": \""דירה בבית קומות\"", \""gush\"": \""2882\"", \""helka\"": \""10\"", \""tat_helka\"": \""10\"", \""asset_id\"": \""11173691250\"", \""latitude\"": \""31.64673062205135\"", \""longitude\"": \""34.5...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,131,,,,large_area_140_195,,2023-01-18,אשקלון,האגמים,עמק חפר 17,,5.0,182.0,,,,דירה בבית קומות,,,12088.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\qa_output_ashkelon\\sold_primary_usable.json"", ""record_index"": ""323"", ""targets"": ""large_area_140_195"", ""date"": ""2023-01-18"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""address"": ""עמק חפר 17"", ""rooms"": ""5.0"", ""area_sqm"": ""182.0"", ""property_type"": ""דירה בבית קומות"", ""price_per_sqm"": ""12088.0"", ""raw_preview"": ""{\""source_index\"": \""162\"", \""deal_date\"": \""2023-01-18\"", \""deal_amount\"": \""2200000.0\"", \""price_per_sqm\"": \""12088.0\"", \""address\"": \""עמק חפר 17\"", \""city\"": \""אשקלון\"", \""neighborhood\"": \""האגמים\"", \""rooms\"": \""5.0\"", \""floor\"": \""רביעית, חמישית\"", \""area\"": \""182.0\"", \""property_type\"": \""דירה בבית קומות\"", \""gush\"": \""2882\"", \""helka\"": \""10\"", \""tat_helka\"": \""10\"", \""asset_id\"": \""11071704510\"", \""latitude\"": \""31.64673062205135\"", \""longitude\"": \""34.5...""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,138,,,,large_area_140_195,,2022-04-11,אשקלון,האגמים,עמק חפר 9,,5.0,143.0,,,,דירה בבית קומות,,,14685.0,,,,,,,,,,"{""source_class"": ""unknown"", ""file"": ""C:\\Users\\AVIV\\gaba\\gabay_pricing_core\\qa_output_ashkelon\\sold_primary_usable.json"", ""record_index"": ""423"", ""targets"": ""large_area_140_195"", ""date"": ""2022-04-11"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""address"": ""עמק חפר 9"", ""rooms"": ""5.0"", ""area_sqm"": ""143.0"", ""property_type"": ""דירה בבית קומות"", ""price_per_sqm"": ""14685.0"", ""raw_preview"": ""{\""source_index\"": \""213\"", \""deal_date\"": \""2022-04-11\"", \""deal_amount\"": \""2100000.0\"", \""price_per_sqm\"": \""14685.0\"", \""address\"": \""עמק חפר 9\"", \""city\"": \""אשקלון\"", \""neighborhood\"": \""האגמים\"", \""rooms\"": \""5.0\"", \""floor\"": \""רביעית, חמישית\"", \""area\"": \""143.0\"", \""property_type\"": \""דירה בבית קומות\"", \""gush\"": \""2882\"", \""helka\"": \""9\"", \""tat_helka\"": \""40\"", \""asset_id\"": \""10991650950\"", \""latitude\"": \""31.64653428008991\"", \""longitude\"": \""34.560...""}"
